name:ID(Author)
Josip Lorincz
Sachin Shetty
Rahma Agroum
Alexander Preuhs
Martin Hofmann
Shengfei Yin
Patrick Kochberger
Oyindamola Oluwatimi
Michail Sidorov
Angel Palomares
Daniel Cordeiro
Denis Flandre
Sha Luo
Tangjun Shi
Nigel H. Goddard
Paul Smith
Chris Deaker
Lahiru Jayasinghe
Mohd Adzir Mahdi
Chiara Francalanci
Weina Zeng
Yi-Kang Chen
Yuji Yamakawa
Lenneke Kuijer
Manoj Ranaweera
Y. Wu
Ryan Wix
Michael Cheffena
Hyoseob Song
Zhong Fan
Mónica Revenga-Parra
Naifeng Jing
Shahram Rezapour
Heesoon Kim
Gang Liu
Liming Xiu
Zhongbao Wei
Alexey Lobok
Hatim Aboalsamh
Sandeep S. Kulkarni
Shiping Huang
Emad A. Az-Zo&apos;bi
Bernard Cheng
Shubham Tulsiani
Jose Ignacio León Galván
Yunpeng Cao
Peter Düking
Xinglong Tan
Hong-Ze Gong
Hila Kloper
Saba Mylvaganam
Haibo Wang
Louis-Marie Saublet
Jun Wu
Kwonjong Lee
Matthew M. Lin
Tarek Menouer
Satyabrata Jana
Xiaopeng Yang
Sepideh Hashemzadeh
Xin Hong
Xueying Liu
Philippe Guillemet
Anastasia E. Goldt
Zhiguo Hong
Youngshin Kwak
Moises Blanco
Li Tzeng
Guangzheng Fei
Josef Habdank
Vinod Achutavarrier Prasad
Khalifa Toumi
Martí Riverola
Jinpeng Lang
Jana Kosecka
Lori G. Eckhardt
Shuai Wan
Chia-Hung Yeh
Mikail Yayla
Li-an Bian
Minas Hussein
Matthew D. M. Pawley
Norman Wilde
Imran Sarwar Bajwa
Mingjie Gao
Rajkumar Kettimuthu
David Gibbins
Andrew Phillips
Muhammad Irfan 0005
Jinho Jeong
Lukás Adam
Jyoti Bhardwaj
Matthew Andrews
Yoshio Fukuda
Seo-Gwang Jeong
Nancy Arana-Daniel
Guan-Long Huang
Chenchen Liu
Luis Gómez-Miralles
Chen He
Thomas Plos
Helmut Leopold
Thomas Morstyn
Dirk van Apeldoorn
Huiyuan Du
Chun-Ming Chang
Ruishan Zhao
Franck Ravat
Baosheng Sun
Joshua A. Hagen
Zhongzheng Lin
Keigo Matsumoto
Xiaojia Wang
Liming Deng
Sohail Jabbar
Guoqing He
Hanna Schneider
Hao Liu 0004
Clemens Becker
Nader Sohrabi Safa
Sonia Aïssa
Yumeng Liu
Jianfeng Yang
Mohsen Ahmadi
Tao Yan
FangHong Zhang
Manuel P. Malumbres
Min-Kyu Park
Yingcai Bi
Konstantinos Batsos
Florian Kordon
Khaliqur Rahman
Ivanka A. Nikolova
Paul C.-P. Chao
Tatiana Suarez
Xiaoli Gong
Andrea Vázquez-Ingelmo
Sabita Maharjan
Jae-Hyun Cho
Lena Leprun
Ales Komarek
Zhenxin Li
Zhiyong Miao
Lan-Ting Fang
Muhammad Shahid Farid
Yogesh D. Barve
Miguel Gabriel Villarreal-Cervantes
Alberto Rivas
Yi-Tsen Ku
Youming Li
Ross Smith
Li Sun
Haitao Tang
Hongchao Wang
Waqas Khaliq Bhatti
Paolo Bocchini
Mo Adda
KanJian Zhang
Tingkai Chen
Marcus Gordon
Guowei Dong
Di Feng
Valentina Cavedon
Mingyuan Yan
Ramin Katebi
Xufeng Zhao
Steven A. Benno
Xiquan Liu
James R. Hopgood
Saeed Sharifi
Roland Lieger
Xiaojun Ji
Yiqi Bai
Samad Rostampour
Jochen Klenk
Peng Chen 0007
Ryo Kawasumi
Álvaro De-La-Llana-Calvo
Irengbam Tilokchan Singh
Valeriy Vyatkin
Wen-Jing Hsu
Francisco da Costa Lopes
Alevtina Dubovitskaya
Yabin Liang
Li-fang Dai
Alexander Fell
Rafael Gouriveau
Horace P. Yuen
Saraju P. Mohanty
Eric Steegmans
Francesca Bettazzi
Chien-Cheng Lee
Allen D. Allen
Celia García-Corrales
Akio Kukita
Stavros A. Kotsopoulos
Mi-Ching Tsai
Sébastien Gambs
Haitao Li 0001
Muhammad Mahboob Ur Rahman
José Luis Gordillo
Domenico Ciuonzo
Andrew Ciambrone
Yun Young Choi
Bo Du
Rajan Kumar Kharel
Claudinor Bitencourt Nascimento
Timo Mischitz
Simone Ceriani
Wendy Flores-Fuentes
Qingji Zheng
Giacomo Colle
Jorge I. Galván-Tejada
Sung Hyun Jo
Pascal Schardt
Claudia Delgado Simao
M. Pushpalatha
Alan Le Goff
Yan Liu 0032
Javeria Amin
Keman Huang
Viktor Valouch
Cesar Barrios
Sandra König
Rakesh Kumar Mishra
Maina M. Olembo
Danica Kacíková
Huu-Hung Huynh
Juan David Hernández
Min-Woo Ryu
Etsuo Genda
Md Sarwar M. Haque
Francisco Balleteros
Mahmoud I. Abdalla
Andre F. R. Guarda
Soon-Wook Kim
Joseph-Julien Yamé
Adriano A. G. Siqueira
Annakaisa Kultima
Syed Sarmad Shah
Weijie Wang
Alexandra Stanciu
Xiaochen Meng
Yusong Yang
Huikai Xie
Antonino Vespoli
Jien Kato
Ahmad M. Jaradat
Francisco Garcia Soriano
Jing Zhu
Hodam Kim
Yi-Gon Kim
Yajuan Sun
Nirong Bao
Mitja Lustrek
Yuki Ban
Amanda Veal
Daniel Rosqvist
Ignacio Angulo
Sherman S. M. Chow
Taewoo Han
Nicolas Dumelié
Jose Antonio de Saja
Xiyang He
Soo Hwan Kim
Dezun Dong
Javad Ebrahimi
Marikka Heikkilä
Srinivas Bandi
Alexander Plopski
Eric Fauvet
Chamseddine Hamdeni
Bo Liu 0001
Muhammad Abrar Hussain
Yaping Zhou
Yang Liu 0099
Wenping Ma 0001
Alessandro Romano
Donghui Lin
Boudour Ammar
Jonna Järveläinen
Abdullah Alhalafi
Ian G. Foulds
Tianshuo Cong
Xiaozhuan Long
David Al-Khalili
Ahmed Shaharyar Khwaja
Yaping Yang
Renjie Chen
Li-Heng Tai
Kai Kuikkaniemi
Carlos A. Pomalaza-Raez
Sang Jun Sim
Peter Nielsen
Sebastian Pick
Shigeru Fujita
Song Yu
Keiichi Ikeda
Woohyun Shim
Bichai Wang
Muhammad Khalil Afzal
Petr Somol
Chan Pan
Hong Zhao
Jin Huang 0002
Christoph Sorge
Marcello Coppola
Sy-Han Huang
José I. Leon
Preslav Rachev
Tomasz Talaska
Yanqin Ma
Arash Nejadpak
Shun Zhang
Mahesh P. Abegaonkar
José Antonio Álvarez-Bermejo
Zihao Chen
Fei Liu
Mohamed Hefeeda
Alireza Shayestehfard
Jongman Cho
Anyanee Kamkaew
Heng Nian
Lei Gao
Heinz-Wilhelm Dehne
Chunqing Li
Faron Moller
Antonio Sanchez
Wanhua Zhu
Naiqi Wu
Haakon Faste
Mahdi Nazemi
Luís F. W. Góes
Youngwook Kim
Gustavo Ramírez González
Kaishun Xiahou
Kun Li
Elisa Giaccardi
Roger A. Braker
Johnny K. S. Paw
Ping Yu
Fatemeh Sefidkon
Shushma Patel
Shinji Fukuma
Fangjv Zou
Cheng Chen
Zidong Wang
Stephen J. Bauman
Sunshin An
Thomas Heinis
Zhengyang Liu
Qingbao Li
Helena Rifà-Pous
Shao-Ku Kao
Kathi R. Kitner
Christian Mainka
Stefan Schauer
Daniel Budelmann
Paul Beckett
Jae-eul Bae
Ursula Sauer
Zhanqi Zheng
Jin-jie Yao
Taisuke Kageura
Dongchul Kim
Sanjeev Sharma
Gordon Lightbody
Antonella Ferrara
Arda Tuysuz
Olivier Rozeau
Munienge Mbodila
Francisco J. Castillo-Ruiz
Arne Wahrburg
Shenggang Yan
Issariya Uboltham
Dong Yuan Qiu
Shang-Hong Lai
Jie Wen
Tamás Kói
Jordan E. Massad
Zhongwei Li
Xing-Qiang Li
Abbe Mowshowitz
Amanda M. S. James
Alexander Jungmann
Guilherme G. Sotelo
Fuzhou Niu
Lansun Chen
Lin Xiao
Anoj Subedi
Ying-Chang Liang
Jorge Rodrigo Massing
Abderraouf Boussif
Bertrand Raison
De-feng Gu
Joaquin Alvarez-Horcajo
Xiangming Li
Changjian Deng
Antoine Dupret
William Oliff
Michael R. Marner
Danijela Cabric
Jong-Mo Seo
Adel Tabakhpour Langerudy
Mariam M. Al-Tarabily
Jae Yong Lee
Stefano Caselli
Victor Kwesi Etse
Ishan Khanna
Jordi Forné
Jincun Liu
Shaodi You
Rukshani Haputhanthri
Li Jin
Keisuke Fujisaki
He Zhong
Christopher Bulla
Benoît Denis
Jijun Yin
R. Long
Riccardo Raheli
Wolfgang Hürst
Karl Bergström
João P. da Costa
Huixuan Tan
David López-Sanz
S. A. Saleh
Kay Thi Win
Yuanfei Dai
D. Torrão
Kazunari Furuya
Thierry Mefenza
Mohammad Najam Doja
José Víctor Rodríguez
Kazuhiro Sasao
Ricardo Martinho
Han-Shin Youn
Friedrich Fraundorfer
Maria Adam
Xiaolong Chen
Zenan Ling
Noreen Sher Akbar
Roseli de Deus Lopes
Romuald Pépion
Zhuqing Jiang
Guilherme Fião
Rundong Kevin Tian
Mohammad Dawud Ansari
Xueqi Hu
Andrew Ross
Hongtao Shi
Mark Blythe
Shahaboddin Shamshirband
Miguel Martínez-Iturralde
Juan M. Gandarias
Rosalía Laza
Dan Hulea
Abdelrahman Osman Elfaki
Tianhua Chen
Zhibin Zhao
Volker Esteves
Pietro Tagliatesta
Peiyuan Lin
Friedrich Lissek
Vedantham Lakshmi Srinivas
Tsuyoshi Ueyama
Jie Yang
Min Soo Sim
Chin-Long Wey
Ciprian Dobre
James Heather
Ruixiang Zheng
Jacob Kongsted
Mohammad I. Awad
Ruiwu Cao
Jixiang Guo
Laewoo (Leo) Kang
Paul Rostron
Kai-Yu Chiu
Imtiaz Afarat
Ran Duan
Biao Zhang 0001
Lianzhong Guan
Biyun Ling
Emily S. Wang
Andal Jayaseelan
Xudong Guo
Xenofon D. Koutsoukos
Marek Frankowski
Elena Simona Lohan
Li Zhu
Vincenzo Lippiello
Joseph A. Issa
Jinlin Zhu
Mikel Azkune
Zhe Chen 0004
Yueyang Song
Vasile Palade
Matthew M. Martinez
Héctor Pomares
Muhammad Talha
Caibing Liu
Pratik Shrivastava
Hong Liu
Rahel Kruppe
Wei Cen
Iickho Song
Claudia Núñez-Pacheco
Lance Fox
Cheng Feng
Ronggang Ni
Iacopo Galli
Fang Huang 0001
Adam Kostelnik
David Martínez-Martín
Hoang-An Le
Taeho Bang
Tsubasa Hirakawa
Na Huang 0001
Chen-Tung Wang
Sha Zhang
Zhanwen Xi
Zhangming Peng
Bernadetta Tarigan
Dhammika Jayalath
Felix Rojas
Daniel Clarke
Ilhem Slama-Belkhodja
Richard R. Maiti
Yunmei Fang
Fan Yang 0019
Dianxun Xiao
Zhe Lin 0006
Will Snavely
Zhengkun Li
Sugandh Tanna
Muhammad Tanveer
Masaru Jingi
Zhen Wang 0009
Jae Kyu Suhr
Preetum Nakkiran
Sami Ben-Romdhane
Joo-Hyung Chae
Hong-Chuan Yang
Cansen Jiang
Jakub Dostal
Sunita Sarawagi
Adel A. Elbaset
Byungwoon Park
Juan Fernández-Novales
Chris Bain
Prashant K. Wali
Kyu-Jin Cho
Penglin Wu
Carl Lee
Ming-Tsung Hsu
André C. B. Soares
Simon Julier
Victor Garcia
J. P. Salas
Andrew Harmon
Jignesh M. Patel
Bin Xu 0002
Yongtian Wang
Woon-Hong Yeo
Zhihui Wei
Sanjay Jha
Christopher G. Skipwith
Miriam Leeser
Qingguo Xie
Kazuo Hosokawa
Carlo S. Regazzoni
Jakub Altsmíd
Patricia Prieto-Cortés
Deepali Arora
HyunGi Cho
Junping Huang
Ngoc-Dung T. Tieu
Haole Chen
Jing Zeng
Manoj Stanley
Min Fu
Ruoxi Sun
Takaji Umeno
Shadi Alian
Emmanuel I. Iwuoha
Zhixiong Li
Hung T. Nguyen 0001
Lynn Davis
Vamsi Kiran Adhikarla
Eunsoo Jung
Corinne Dejous
Salvatore Galiano
Sang-Bok Jang
Anurag Runthala
Chunwei Liu
Anne Humeau-Heurtier
Hua Zhao
Jiayin Guo
Yindong Chen
Laura Gastaldi
Alberto Corbi
Joshua M. Johnston
Giuseppe Araniti
Iis Tussyadiah
Wai-Yip Chan
Roberto Iglesias
Franz Kohl
Feng Duan
Yueqi Li
Alexander J. Ratner
Yibing Chen
Yuichi Watarai
Pei-Yan Huang
Hong Rong
Xinye Chen
Jalil Rashidinia
A. Kavitha
Meynard John Toledo
Xiaoyang Li
Junkai Wang
Haibo He
Nicolas Verhaert
Ling Mi
Thomas Strohmer
Jian-Xin Chen
Zhiyao Huang
Rongling Lang
Mateusz Rzymowski
Tsu-Yang Wu
Maoyuan Li
Jangchul Park
Changze Cui
Samuel Schülein
Muhammad Nazrin Ramli
Igor Shinkar
Yang Xiang 0001
Alexandra Christophe
Alexandros Kitsikidis
Jordi Pegueroles-Queralt
Huafeng Liu
David Campos-Gaona
Abeer A. Raweh
Ying Huang
Antoni Morell
Wenbo Tao
Jian Yuan
Mikhail Gerasimenko
Corrado Guarino Lo Bianco
Yaman Sharaf-Dabbagh
Tingjun Wang
Nyein Nyein Myo
Haijian Zhang
Wong Jack Xen
Longcun Jin
Min Su Lee
Sergio Hernández
Lajos Torok
Hisham Alshaheen
Chao Wu 0004
Hongxu Li
Sukumar Nandi
Alireza Tavakkoli
Jing Huang
Mohd Riduan Ahmad
Tom Lawson
Xiaoyang Wu
Zhiqiang He
Richard Rhodes
J. Koike
Dafang Wang
Ali Ali Saged
Johann Schleier-Smith
Prosenjit Bose
Wenxing Li
Qingsong Xu
Shu Liang
Lunzhi Deng
Sung-Yoon Jung
Luo Lu
Ankur Pandey
M. Becker
Vincent van Rheden
Te Chen
Li Ren
Ding Liu
Xichao Dong
Chen Gong 0003
Jean H. French
Fabrizio de Vico Fallani
Thomas Shull
Khaled Omrani
Sanjib Kumar Deka
Cristian H. De Angelo
Emad Samadaei
Xiangtian Meng
Pingjian Wang
Marc Lamy de la Chapelle
Abdulkadir Iyyaka Audu
Wen-Ching Hsieh
Feng-Ching Chiang
Ángel Jesús Molina-Viedma
Guillaume Vivier
Ludovik Coba
Nasruddin Hassan
T. Amar Sainath Reddy
Frederic Laing
Longyong Chen
Pedro S. Rodríguez-Hernández
Lihua Shen
Dariusz Grabowski
Yuki Fujita
Sajid Anwar
Hatem Alismail
Nazzareno Pierdicca
Yulong Pei
Byunghoo Jung
Antonio Rodríguez Díaz
Hong Yang
Leticia Amador-Angulo
Antonio Ledezma
Ti-wen Tang
Hans-Peter Widmer
José A. Lopez-Salcedo
Boris Reznikov
Jinglei Yang
Xin Wang 0041
Yanfeng Qi
Taejoo Cho
Musa Ibrahim M. Ishag
H. Guermoud
Jeong Hoon Lee
Hanzhen Xiao
Emilio Lorenzani
Nuno M. M. Rodrigues
L. J. Ontañón-García
Fei Peng
Xiuping Li
Kamalakanta Behera
Shuo Gao
Jongyeop Kim
Raynor Vliegendhart
Nick Meek
Haiying Du
Sara Lakani
Leonid Yavits
Weisi Han
Dorit Merhof
Ergun Gide
Satoshi Ueki
Zhiqiang Huo
Qinfeng Xia
Byeong Kang
Haoling Ren
Alberto Castellazzi
Tales Heimfarth
Xiaoyu Wang
Feng Long
Shi Ge
Juha Tamminen
Julian Dibbelt
Monisha Jegadeesan
Adi Yehezkeli
Guo-Hua Feng
Mohit P. Tahiliani
Yingfu Li
Konrad Andrzej Markowski
Choungki Song
Gengjie Chen
Esmaeil S. Nadimi
Svea Kögel
Manolis Savva
Jacob D. Hauenstein
André de Oliveira Bueno
Ivano Menicucci
Patricia Acosta-Vargas
Guang-Liang Feng
Susana Ortega-Cisneros
Ranadheer Musham
Alexander Motzek
Andreas Petker
Pingqi Pan
Anthony Guiseppi-Elie
Yunke Li
Rasheed Hussain
Tianqiao Zhao
Tatsumi Nakada
Valentin Cristea
Meghna G. Mankalale
Yoshihiko Tazawa
Chun-Cheng Hou
Kevin Bouchard
Huiyao Tang
Olivier Hoes
Patricia Batres-Mendoza
László Czúni
Eudokia Passalidou
Gianfranco Forlani
Ryuji Kimura
Yanfen Wang
Jung-Sang Ahn
Girolamo Di Francia
Alex S. Weddell
Gang Deng
Maribel Yasmina Santos
Pekka Kamsula
Adrian Hazzard
Shankar Karuppayah
P. I. Liji
Dong-Jun Lee
Tim Pedersen
Zhihao Yu
Masoud Allame
Christina Delimitrou
Kejian Miao
Ahmed O. Badr
Luca Cecchinato
José F. Ruiz
Ying Bi
Thorbjorn Ebefors
Hong-Xia Dou
R. Vanlin Sathya
Holly Robbins
Randy P. Broussard
Loïca Avanthey
Amr M. Youssef
Jie Duan 0003
Man Luo
Gerald Brenner-Weiß
Runze Cai
Olivier Aubreton
Asgeir J. Sørensen
Rahman Lavaee
Alexis Bazin
Ruicong Han
Pooya Hatami
Zhihong Jiang
Elisabeth Leiss-Holzinger
Zhaolin Jiang
Madhusudhan Govindaraju
Serioja Ovidiu Tatu
Adrian Carrio
Jing-Yi Chen
Elise van den Hoven
Zahid Khan
Christian D&apos;Orazio
Jiangtao Liu
Hong-Je Ryoo
Rory Makuch
Hyun-Woo Jun
Carlos Galvan-Ampudia
Yuh-Shyan Chen
Mikio Hasegawa
Qingyu Chen
John L. Crassidis
Yuan Zhuang
Brian R. Mace
Jerzy Wrona
Achilleas Anastasopoulos
Newton Howard
Jörg Daubert
S. Sowmya Kamath
Miguel Ángel Marco Buzunáriz
Rashid Amin
Mariusz Sikora
Tomomichi Hayakawa
António S. Câmara
N. Boopala Krishnan
Anjana Dissanayake
Syed Saqlain Ali
Xinyue Li
Torsten W. Kuhlen
Yu-Chee Tseng
Manuel A. Díaz-Bouza
Akbar Assa
Makoto Suwada
Xiaofang Chen
Mark Daniel Ward
Mohamed Khalgui
Giacomo Capizzi
Nora Oertel Ribeiro
Shuping Dang
Günther Pernul
Shiwen Sun
Mohamed A. Aboul-Dahab
Anna Puig-Pujol
Gultekin Gulsen
Yanjun Ma
Aythami Morales
Andrea Scaloni
Poria Pirozmand
Amin Banitalebi-Dehkordi
Ying Li
Kirsten Rundberget
Asim Smailagic
Jingkun Chang
Zhiwei Liu
Nicola Cau
Su Y. Choi
WenYang Wang
Akash Yadav
Ce Liu
Ahmad Ashrif A. Bakar
Damien Piguet
Yuqing Yin
Jae-Soo Cho
Sk. Mohammadul Haque
Mikel Mazuela
Hiromi Ushijima
Shi Chen
Xiaomei Li
Afef Bennani-Ben Abdelghani
Ali Elkamel
M. Saqib Nawaz
Iván Maza
Junqi Ren
Poonam Singh
Hendrik Schuff
Nadia Mei Lin Tan
Jinxin Hu
Galymzhan Nauryzbayev
Hongjuan Zhang
Emanuele Frontoni
Stephane Barbeau
Chao-Hsuan Tsai
Giuseppe Carlino
Aiwu Zhang
José Fariña Rodríguez
Shunliang Wang
Euiseok Hwang
Rajaram Siva Subramaniam
Jaehwan Kim
Sagnik Sen
Z. X. Lei
Yanfei Cao
Tanaka Tanaka
Sharon Lynn Chu
Etienne Mauffret
Grammati E. Pantziou
Ulrike Dackermann
Jing He
Sam-Gyun Kim
Chao Jiang 0003
Byeong Ho Kang
Adam C. Watts
Arnaud Giacometti
Qianwen Xu
Jayadeep Pati
Alessandro Signorini
M.-S. Suh
Fan Guo
Wenli Du
Zhanwei Zhong
Babu Kaji Baniya
Noureddine Zerhouni
Andrea Cattaneo
Lei Huang 0001
Mohamed A. Hawas
Younghwan Yoo
Carter Chiu
Alina Dana Miron
Yu Freeman Tang
Fernando Martín Monar
Jules Françoise
Hiroyo Ishikawa
Sergio Plaza
Pierre Gurdjos
Xi-Sheng Zhan
Euzeli Cipriano dos Santos
Jinming Luo
Wenzhao Liu
Wei-Tsung Lin
Glenn Maricaux
Luciano Schuch
Mona Verma
Zhihuan Yao
Riccardo Longo
Jorge Portilla
Daniel Evans
Harry Zhou
Roberto Garcia-Rochin
El-Miloudi El-Koursi
A. Eduardo Dias
Anuradha Kar
Charles Boisvert
Xiaojin Zhao
Francesco Piscitelli
Alexander Fish
John Keane
Estefanía Núñez-Carmona
Qi Liu
Kate Hennessy
Guoxi Zhang
Saeed Ouni
Torsten Pfützenreuter
Yin Chun Chan
Mohammad Alhowaidi
Luiz C. G. Freitas
Mehran Asadi
Charles Malleson
Jialin Xu
Qile Zhao
Mario Russo
Sung Hoon Kim
Akhtar Hayat
Omair Shafiq
Hang Zhang 0006
Jianguo Xiao
Deniz Evrenci
Joydeep Chandra
Misako Matsumoto
Jameela Al-Jaroodi
Vun Jack Chin
Pablo Ameigeiras
Yichao Cai
Zhengliang Dai
Michel Picard
Paul Breedveld
Zhe Yang
Lucas Feksa Ramos
Zofia Sokolowska
Juan Antonio Martín-Ramos
Elad Avni
Yunsik Seo
Jignesh K. Thanki
Kyung-Jae Choi
Shah Khusro
Hai Tran
Shengchen Wu
Zeng-Shun Chen
Mohammad Irfan Bala
Desmond Power
Xiao Peng
Harmender Gahlawat
Béatrice Duval
Kanna Hirobayashi
Jianguo Ma
Stefan Raible
Qinghua Zhang
Hui Huang
Harrynson Ramirez-Murillo
Jianxing Liu
Santosh S. Vempala
Sujoy Saha
Julian Rauchberger
Junichi Takanohashi
Yanlei Gu
Juan C. Bohorquez Reyes
Matteo Felice Iacchetti
Xin Li 0031
Jiaole Wang
Gustavo López Herrera
Arun K. Bhunia
David Escot-Bocanegra
Nassir Navab
Pietro Malara
Jorge Cruz 0002
Shangzhi Pan
Jesús Manuel Muñoz-Pacheco
Samuel Stremsdoerfer
Tomasz Stobiecki
Gabriele Bleser
Swati Gupta
Dongmei Jiang
Shashank Tiwari
Yiming Ying
Bingxi Jia
Tommaso Campanella
Youfu Li
K. T. M. U. Hemapala
Wen Xu
Zhiqiang Zeng
Hongjian You
Chunhe Xia
Yuxiang Shi
Guangzhao Luo
Naresh Kumar Nagwani
Nikoletta Mavrogeorgi
Xiaolin Wang
Rudolf Zetik
Yulin Duan
Li-Jie Chen
Doug Serfass
James Tuck
Rachid Ait-Haddou
Mostafizur Rahman
Shurui Liang
Mohd Faizal Jamlos
Qishan Li
Leila Ghorbel
Joongki Park
Dongyu Feng
Ghada Moussa Bahig
Victoria Gámiz-López
Nicolas Muller
Xiaoyan Wang 0003
Hermenegilda Macià
Óscar García
Changbum Chun
Jiantao Yang
Shaojun Wei
Marco Herbst
Fengzhao Dai
Yu-Chun Lo
Rikke Toft Nørgård
Truc Ly Nguyen
Selahattin Gökceli
Mark Kelly
Victoria Moreno
Jun-Feng Yin
Radha R. Kandoori
M. P. Rajan
A. Jonathan McLeod
Marcelino Ferri
Lei Wang 0066
Xue Liu 0001
Ren Ohmura
Edmond Lou
Pascal Lessel
Yitao Yang
Zhizhao Huang
Janusz Narkiewicz
Fan Wu 0006
Yue-ming Gao
Pierluigi Salvo Rossi
Javier García-Blas
Max A. Little
Zhiwei Xiong
Sally E. Day
Aino Manninen
James V. Krogmeier
Jin Song
T. Thevar
Dalil Ichalal
Kohei Nitta
Tuncay Candan
Salvador Merino
Xi Tan
Luigi Zeni
Shih-Yu Kuo
Massimiliano Pepe
Marco Aurelio Sotelo-Figueroa
Fei Zhao
María Inés Valla
B. Divya
Weifeng Liu 0001
Paolo Gnudi
Iman Abdali Mashhadi
Siyuan Liu
Francis Lin
Soha Alboghdady
Hong Ren
Adrian G. Bors
Dennis Titze
Da-Ren Jian
Doyoung Jeon
Marco E. G. V. Cattaneo
Ramanathan Subramanian
Eduardo Macagno
Raúl Llinares Llopis
Wudi Wen
Moneruzzaman Rana
HyoSeong Lee
Vahid Samadi-Khaftari
Jizhou Zhang
Nicole Beale
Di Wu 0001
Linda F. Aulmann
Tomasz Surmacz
Zhihao Tian
Sergio Pérez
Jiri Petrzela
Ademar Takeo Akabane
David Pirrò
Adnan Haider Yusef Sa&apos;d
Tengfei Wu
Pruet Boonma
Alessio Graziani
Peter Schartner
Yashwanth Reddy
Johan Bertrand
Young-Ran Hong
K. P. Subbalakshmi
Muhammed Fazlur Rahman
Weijian Fan
Marco Volino
Ryota Koshiyama
Anna Stanczyk
Chulhong Kim
Jong-Pil Lee
Rickard Ewetz
Haryong Song
Michael C. Kreissl
Qin Mei
M. Cemal Cakir
Jacopo Aleotti
Jean-Marie Dilhac
Enis Afgan
Donald Loffredo
Kwang Soup Song
Seyed Farhad Aghili
Naveen Mergu
Peng Zhang
Izzat Darwazeh
Jian Lu
Guitao Cao
Toni Levanen
Xudong Fang
Rui Rodrigues 0001
Francesco Grimaccia
Xueliang Li 0001
Allan Zelener
Giuseppe Volpe
Xingli Lin
Yonghui Yang
Daniel Alexandre Vera
Meng Wei
Wonjun Hwang
Qianzhou Du
Conner Hansen
Mike J. Chantler
Patrick McCorry
Stefano Monti
Emilio Sanvicente Gargallo
Taebeom Kim
Jingjing Cheng
Tommi Jämsä
Jun-Sik Kim
Sangchun Shim
Juan G. Victores
Philippe Artillan
Jaemyoun Lee
Jianzhong Li
Radoslav Chupác
Shujuan You
Nitesh V. Chawla
Bruno Melis
Dawn Hadley
Wu Chen 0002
A. M. Mahfuz-Ur-Rahman
Siti Nurmaya Musa
Tian Yu
Jean-Philippe Vandeborre
Zheng Geng
Hesham Elbakoury
Dae-Woong Lee
Glendy A. Catzin-Contreras
Keng-Weng Lao
Sina Shafaei
Zhi-Xia Du
Huan Xuan Nguyen
Carolina Salto
Ming Cong
Arismar Cerqueira S. Jr.
Jau-Nan Lin
Yao Yu
Fumiki Kato
Jinsun Ju
Jose Fabio Kolzer
Changho Lee
Sergio Salinas
Surajeet Ghosh
Ali S. Sadri
Navdeep M. Singh
Dana Copot
Sebastien Glaser
Saliha Esin Çelik
Osama Shekhah
Alexander Gluhak
Antonio Giorgini
Azeddine Bilami
Luming Cheng
Chenguang Wu
Kwok Siong Teh
Hamdi Amroun
Maic Masuch
Wendy Dassen
Ruizhou Wang
Virginia N. L. Franqueira
Marcelo Dias de Amorim
Harikrishnan Jayamohan
Allan Melvin Andrew
Sethavut Duangchan
Brice Sorli
Zhenzhen Hu
Martin Mozina
Zhongmei Qin
Ayça Ünlüer
Dexing Liu
Shuyan Chen
Licia Paliotta
Li Fu
Steve Klopman
Hongwei Huang
Mao-Hsiung Chiang
Liang Han
John Taddei
Michael Zollhöfer
Lukas Graner
Wei Yang 0001
Reem El Sherif
Clemens Schuwerk
Haoxi Cong
Feng Lu 0005
Qingtang Su
Shin-Yu Shiau
Kaleemulah Bhatti
Ozgur Sinanoglu
Abdulsalam Yassine
Akhtar Hussain
Xiaozhong Liao
Peter J. Gawthrop
Valdete Loku
Zhenhua Chai
Stepan Lucyszyn
Yuan Wu
Chang-Jyun Hu
Arik Bergman
Haidong Yu
Ana Lucila Sandoval Orozco
Guishu Zhao
Huifeng Chen
Takayuki Furuya
Yongxin Chen
Hamid Amiri
Sin-Woo Lee
Yu Jia
Kunshan Xu
Gerhard Rigoll
Carlos Pallan Gayol
Mohammad Aldosari
Fuan Pu
P. Muthuchidambaranathan
Abir Jaafar Hussain
Mathias Kuhlmey
Ronny Bergquist
Joel Scheuner
R. Pérez Álvarez
Juan A. Cabrera
Roger M. Faye
Partha Pratim Chakrabarti
Zhuwei Qin
Mohamed Jmaiel
Juvenal Rodríguez-Reséndiz
Yincan Mao
Peng Pan
Xingtao Liu
Sadegh Jamali
Rasha Homoud
Zhenghui Liu
Adrian Galdran
Hao Yu 0001
Yuki Shindo
Rama Chellappa
Tianliang Liu
Philippe Bonnot 0001
Jan D&apos;hooge
Ana Garrido-Varo
Huaijiang Sun
Michael Scharfschwerdt
Junho Song
Alberto Villalonga
Rafal Kloda
Jeanne Villaneau
Lingyu Duan
Tarlochan S. Sidhu
Ing-Jr Ding
Masatoshi Uno
Téo Orthlieb
Jennifer C. Lai
Jun-Dong Cho
Jie Ren
Xingyu He
Cristina Cuerno-Rejado
Ming Jiang 0012
Daniel Dotta
Stijn Derammelaere
Hiroyuki Iida
Maisha Mahjabeen
Yuejiao Cui
Guangshe Zhao
