author	institution name	Company|University
Moon-Hwan Chang	Anderson-Bennett	Company
Kyla A. McMullen	Bennett, Rocha and Mcdonald	Company
Laurent Gallon	Universidad Técnica de Cotopaxi	University
Jun Zhou	Gill-Myers	Company
Kasra Madayeni Avval	Technical University of Koszalin	University
John Oliver	Martin Inc	Company
Hongling Shi	Iran University of Science and Technology Tehran	University
Chengxu Ye	Persian Gulf University	University
Salviano Soares	Haynes-Gibson	Company
Ying Cai	Technological University (Banmaw)	University
Payam M. Barnaghi	University of Engineering and Technology Taxila	University
Bangfu Zhang	Duran-Perez	Company
Evangelos Sfakianakis	Lamb-French	Company
Jose-Maria Arnau	Morton-Perez	Company
Yinghao Huang	Universidad Iberoamericana	University
Rafael Gouveia	Centennial College	University
Oswin Ehrmann	Minneapolis College of Art and Design	University
Justin Patton	Miller, Fitzpatrick and Mcclain	Company
Mustafa Mohamad	Perm State Technical University	University
R. Manivasakan	New York School of Interior Design	University
Bert Coolen	Sri Ramachardra Medical College and Research Institute	University
Yuwang Lai	Southern Alberta Institute of Technology	University
Wen Jiang 0004	Lane Inc	Company
Walter F. Schmidt	Rodriguez PLC	Company
Jeong Woo Choi	Kramer and Sons	Company
Gang Wu 0004	Thomas PLC	Company
Partha P. Pal	Huffman, Carrillo and Morales	Company
Ganjar Alfian	Universidade Cruzeiro do Sul	University
Ziyang Meng	Oneal, Turner and Marshall	Company
Jose Luis Nunez	Taeshin Christian University	University
Changjiang Xiao	Aguilar PLC	Company
Ala Hamarsheh	Park-Turner	Company
Oskar Juhlin	Simmons LLC	Company
Haishan Wan	Hines Group	Company
Aaron Bartholomew	Brown Ltd	Company
Xiong Fengguang	Boise State University	University
Meng Zhao	Mongolian State University of Arts and Culture	University
C. Lee Giles	Manning, Taylor and Garcia	Company
Farooque Azam	Moore-Barton	Company
Lutz Rissing	Nelson-Fernandez	Company
Iryna Windhorst	Bright-Nichols	Company
Qiwei Han	Rust College	University
Marijke Vandewal	University of Cassino	University
Sehoon Oh	Thomas University	University
Quanzeng Wang	Bennett, Perez and Williams	Company
Xinglan Zhang	Lviv National University Ivan Franko	University
Mark Dougherty	Escuela Politécnica del Ejercito	University
Cheng-En Wu	Universitas Mercu Buana	University
Ryota Imamura	Avery-Shaw	Company
Wim Devesse	Universität Flensburg	University
Denis Tomè	University of Split	University
Kimmo Rautiainen	Brown, Matthews and Huynh	Company
Hamidreza Moradi	Fachhochschule des Mittelstandes (FHM)	University
W. Fish	Hall, Hester and Moore	Company
Chong Zou	Albany College of Pharmacy	University
Gongxiang Wang	Robles-Bass	Company
Jianhua Wu 0007	Gibson, Powers and Palmer	Company
Nobuhiro Ito	Davis, Ramirez and Lee	Company
Changda Wang	National Institute of Technology, Trichy	University
Simon Lawes	Nayanova University	University
Nandini Mukherjee	Roberts and Sons	Company
Sudhir Shrestha	Texas Chiropractic College	University
Raffaele Liuzzi	Indus Institute of Higher Education	University
Wei Peng	Chapman LLC	Company
Yojiro Shibako	Schultz, Mitchell and Cross	Company
Rui Yuan	Jenkins PLC	Company
Lingyu Duan	Salazar, Martin and Johnson	Company
Robert Lagerström	Moss LLC	Company
Markus Andresen	University of Manitoba	University
Min Chen 0013	Manipal University	University
Trupti Joshi	Universitas Merdeka Madiun	University
Pau Closas	Lewis, Harris and Fernandez	Company
Daniel Robles	Universitas Methodist Indonesia	University
Cuili Yao	Austin and Sons	Company
Peng-Fei Cui	Moore-Baker	Company
Zhiyi He	Adams-White	Company
Lei Liu 0009	Moore-Barton	Company
Guangyi Liu	Brown-Juarez	Company
Ziwei Dai	Berry, Vazquez and Gamble	Company
Xiang Li 0014	Zimmerman-Decker	Company
Chandrika J. Satyavolu	Universidad Católica de Santo Domingo	University
Joé Lallemand	Gonzalez LLC	Company
Shad Gross	Mcgee PLC	Company
Murtadha Al-Saedy	Jones-Galvan	Company
Hongyuan Shi	Al Mamon University College	University
Yu-Wen Chen	Bolton Group	Company
Suzhi Bi	Martinez-Garcia	Company
Xin Li 0050	Ryan-Moore	Company
Michalis Pavlidis	Pena-Myers	Company
Hyungbo Shim	Anna Maria College	University
G. David Emmitt	Wade-Miller	Company
Evandro Ottoni Teatini Salles	University of Saint Joseph	University
Juan-Pablo García-Vázquez	St. Petersburg College	University
Oliver Korn	Allegheny College	University
Frank Breitinger	Mcclain PLC	Company
Chengfeng Pan	Guerra, Alexander and Petersen	Company
Feng Bu	Jackson-Whitehead	Company
Zhen-Yuan Liao	Johnson, Barnett and Lucas	Company
Yuk Fai Cheung	North Georgia College	University
Hafiz Muhammad Asif	Framingham State College	University
Xiali Hei	Doyle-Taylor	Company
Joonyoung Cho	Greene and Sons	Company
Yoshihide Hattori	Ecole Centrale de Lyon	University
Marília Curado	Polonia University in Czêstochowa	University
E. Ahmed	Universidad de Puerto Rico, Aguadilla	University
Mohamed Aymen Saied	Watkins, Diaz and Guzman	Company
Raimundas Vilkoncius	Williams, Gross and Pena	Company
Kanghuai Liu	Lawson, Davis and Hamilton	Company
Frank Flechtner	Mennonite College of Nursing	University
Qingji Zheng	Frank LLC	Company
Ching-Wen Cheng	American International University West Africa	University
Angela K. Billard	National Taiwan College of the Arts	University
Katsuya Yoshiho	Payne LLC	Company
Kenny F. Chou	Thompson Ltd	Company
Hua Wu 0001	West LLC	Company
Kazunori Iwata	University Institute of Naval Studies	University
S. Sahoo	Prague College	University
Christophe Renaud	Universidad de Ciencias Aplicadas y Ambientales (UDCA)	University
Yuting Chen	Young-Flores	Company
Mingjiang Guo	Bharati Vidyapeeth University	University
Bong-Kyun Kim	Jackson and Sons	Company
Carl Lee	Government College University Faisalabad	University
Wan-Young Chung	London Guildhall University	University
Jiyao Hu	Johnson-Thompson	Company
Júlio Cezar Estrella	Cameron-Noble	Company
Nam Ho Bae	University of California, Berkeley	University
Nizar Kheir	Azabu University	University
Dong-Joo Lee	Todd-Watts	Company
Alexander Acker	Islamic Azad University, Tehran South	University
Eric Renard	Simmons Ltd	Company
Fabio Dell&apos;Acqua	Cabrera PLC	Company
Óscar Oballe-Peinado	Universitas Gunadarma	University
Qianhui Liu	Fachhochschule Neubrandenburg	University
Amitabha Sanyal	Richard Ltd	Company
Hidetaka Morimitsu	Ortiz, Nelson and Porter	Company
José David Rojas	Fuentes-Mcfarland	Company
Haiyang Meng	Moore, Rogers and Peterson	Company
Vijay Venkatesan	Johnson-Mack	Company
Gijs Huisman	Agricultural University of Lublin	University
Li Liang	Bridges-Ross	Company
James F. Rusling	Martin Ltd	Company
Xiaofu Geng	Mcbride, Benson and Williams	Company
D. McLuskie	Perez LLC	Company
Nils H. Van Der Blij	University of Northern Virginia, Prague Campus	University
Xue Lin	Holmes-Castro	Company
Shaohua Niu	Universitas Persada Indonesia Y.A.I	University
Wuyu Peng	Queensland University of Technology	University
Mohammad Mehravar	Johnson, Nicholson and Armstrong	Company
Csongor I. Gedeon	City University of Hong Kong	University
Li Feng 0001	Adams State College	University
Antonio Cuadra Sánchez	Elliott-Myers	Company
Ryuichi Sugie	University of Texas Health Science Center at San Antonio	University
Dag Nyholm	Ochoa, Howard and Hayes	Company
Li-Ping Pang 0001	Universidad Ulises Francisco Espaillat	University
Chaker Abdelaziz Kerrache	Bright-Luna	Company
Sheng-Yi Chiu	Wood, Montgomery and Taylor	Company
Hafizur Rahaman	School of Economic Sciences	University
Max Pfeiffer	Vilnius University	University
William Saunders	Larson Inc	Company
M. S. Vasanthi	University of Vermont	University
Yunxian Piao	Jones-Watkins	Company
Konstantinos Nikitopoulos	Baker College of Flint	University
Adam Stambler	Quaid-i-Azam University	University
Agustín Zaballos	Wong-Mcdonald	Company
Naoufel Kharroubi	University of Arkansas at Fayetteville	University
Sudhir Goel	Université de Sétif	University
Jong-Mo Seo	University of Northern Philippines	University
Václav Snásel	Marquez Inc	Company
Larisa Vihrova	Lake Forest Graduate School of Management	University
Hyun-Woo Cho	Grodno State Agrarian University	University
Chaohui Wang	Gilbert LLC	Company
Antonio Penta	May Inc	Company
Marco Mancini	Vasquez, Avery and Myers	Company
Sunok Kim	Jimenez PLC	Company
Qingping Jin	Lane-Kim	Company
Min Jun Kim	Universidad Interamericana	University
Sandeep Ameet Kumar	National Institute of Technology, Trichy	University
Benoit Goossens	Ohio State University - Marion	University
Evans Owusu	University of Education	University
Junil Choi	Gomel State Medical University	University
Babu Kaji Baniya	Alabama State University	University
Bo Yang 0001	Hill, Hall and Carroll	Company
Helong Li	St. Petersburg Institute of Sales Management and Economics	University
Francesco Basile	Gillespie, Martinez and Carroll	Company
Xiao-Yuan Jing	Uludag University	University
J. Garcia	Mitchell, Murphy and Miller	Company
Alireza Noroziroshan	Duale Hochschule Baden-Württemberg	University
Ramón Portillo Guisado	Silva Ltd	Company
Abhishek Jain	Fachhochschule für das öffentliche Bibliothekswesen Bonn	University
Yasutaka Furukawa	Al-Khair University	University
Byung-Kwon Kim	Brewer-Jones	Company
Shan Gao	Tyumen State University of Gas and Oil	University
Andrey Apalkov	Fernandez, Barker and Ward	Company
Yunhua Li	Free University of Tbilisi	University
Bamidele Adebisi	King's College	University
Dragan Kukolj	Nolan-Soto	Company
Rita Brugarolas	Barrera-Rocha	Company
Bo Jin 0003	Sevastopol National Technical University	University
Ushio Inoue	Armstrong-Ortega	Company
Steven Begg	Universidad de Granada	University
Yusheng Luo	Shea, Davenport and Campbell	Company
Sing Yee Chua	Grand View College	University
Shahriar I. Husainy	Université François Rabelais de Tours	University
Congyu Wang	Jackson and Sons	Company
Ji-Yeon Yang	Lee, Lopez and Weeks	Company
Haruya Tamaki	Christensen LLC	Company
Polipalli Trinatha Rao	Merkur Internationale FH Karlsruhe	University
Julian Reichwald	South Eastern Kenya University	University
Gwangjin Kim	Baku Slavic University	University
Vittorio M. N. Passaro	Gillespie LLC	Company
Hosein Farzanehfard	School of Slavonic and East European Studies, University of London	University
Sebastiano Cavallaro	Kennesaw State University	University
Mohammad Tariqul Islam	Universität der Bundeswehr Hamburg	University
Dongming Feng	Kim PLC	Company
Jesus Choliz	Bharathidasan University	University
Amarjeet Kumar Sharma	Universidade Católica Dom Bosco	University
Dedi Irawan	Yamanashi Gakuin University	University
Mengtong Li	Pitts-Duncan	Company
V. Michael Bove Jr.	University of Burdwan	University
Daniele Sampietro	Duran-Perez	Company
Sung Min Seo	University for Development Studies	University
Adrian N. Bishop	Gakushuin University	University
Mohamed Hossam Ahmed	Henderson-Cole	Company
Jose-Ramon Martinez-Salio	Harper-Cox	Company
Xiao Jiang	Brown-Stewart	Company
Jun Mao	Norris, Long and Howell	Company
Martin Tomitsch	Rowe PLC	Company
M. Baig Awan	Wang-Bryan	Company
Danda Pani Paudel	Mount Union College	University
V. R. Vijaykumar	Schiller International University, Strasbourg	University
David P. Towers	Greene, Rodriguez and Clark	Company
Tahereh Ahmadi Tameh	Holland, Mitchell and Hess	Company
Ricardo Mendonça	Hodges University	University
David Ilcinkas	Bifrost School of Business	University
Nils Appenrodt	Minnesota School of Professional Psychology	University
Yan Zhang	Mcgee Ltd	Company
Kai Wang 0001	Bolton Group	Company
José I. Leon	University of the Ozarks	University
Gabriele Bleser	Azerbaijan Medical University	University
Aiman El-Maleh	New Jersey City University	University
Koji Shirakawa	Johnson-Williams	Company
Erik Cuevas	Dodson-Cox	Company
Erick Oduor	Fachhochschule Nordhessen	University
Xin Li 0047	Escobar-Harrell	Company
Xiaoyang Du	University of the Sunshine Coast	University
Zao Yi	Taylor-Wheeler	Company
Qiao Ke	Duran-Perez	Company
Hyeonjun Park	Hayes-Serrano	Company
Mengying Jiang	Duncan PLC	Company
Shuangyin Liu	Cross-Smith	Company
Masaya Notomi	Wuhan Transportation University	University
Patrick Nectoux	South Eastern Kenya University	University
Thulasiram Jonna	Academy of International Economic and Political Relations, Gdynia	University
Shufan Zhang	Abai State University	University
M. A. Hernández-Verón	Yeungnam University	University
Axel Saalbach	An-Najah National University	University
Shivam Prakash Gautam	New York Film Academy	University
Xiaoyue Chen	Ward, Andersen and Alexander	Company
Jun Sun	Livingstone College	University
Ahmed Hallawa	The College of Santa Fe	University
Zhengkang Chen	Johnson, Nicholson and Armstrong	Company
Min Li 0006	Clark LLC	Company
Esengül Saltürk	Marij State University	University
Qing Chang	Hochschule Anhalt (FH), Hochschule für angewandte Wissenschaften	University
Daksha Yadav	Hall-Kelley	Company
Thomas Lukasiewicz	Martin Ltd	Company
Wessam Ajib	Philadelphia University	University
Gilles Duc	Institute of Germanic Studies, University of London	University
Aida Ben Chehida	Shri Mata Vaishno Devi University	University
Paolo Mantovani	Wood Ltd	Company
Mainak Sengupta	Gonzalez LLC	Company
Qinghua Lu	Calhoun-Richards	Company
Chengquan Hu	The Dickinson School of Law	University
Benxian Xiao	Romero PLC	Company
Martin Welch	Holmes-Wyatt	Company
Klaus-Dieter Thoben	Fairleigh Dickinson University, Florham-Madison Campus	University
Rachel Cooper	LungHwa University of Science and Technology	University
Dmitri Botvich	Martin-Salinas	Company
Jian Andrew Zhang	Goodman, Robinson and Rose	Company
Bo Fu	Polytechnic Institute of Milan	University
Siva Kishore Reddy	Inchon National University of Education	University
Martin Arlit	Kendall College	University
Shengbo Chen	Seton Hill College	University
Rebeca Estrada	Weaver Ltd	Company
Stephen R. Delwiche	Larson Inc	Company
Prabitha Urwyler	Sanford-Parker	Company
Konstantinos Markantonakis	Bradley, Allen and Davis	Company
Juan Niu	Kingston University	University
José García	Research College of Nursing - Rockhurst University	University
Hailin Cao	National University of Laos	University
Fusheng Zhang	North Bengal University	University
Guoshuai Geng	Phillips University	University
Qingwen Liu	Pham Ltd	Company
Hafiz Syed Muhammad Bilal	Gonzalez, Chang and Kerr	Company
Weitao Li	Military Technical College	University
Etsuo Genda	Weeks-Johnson	Company
Mohamad Omar Al Kalaa	American University Extension, Okinawa	University
Ashley E. Franks	Frostburg State University	University
Adnan R. Zayadeen	Stevens Inc	Company
Yushu Zhang	Davis-Palmer	Company
Miaowen Wen	Finley LLC	Company
José Javier Astrain	Wells-Ortiz	Company
João B. F. Sequeiros	Brown, Sherman and Daugherty	Company
Roger Skjetne	Jenkins-Hill	Company
Anu Lehtiö	University Institute of Naval Studies	University
Alistair G. Basden	Knightsbridge University	University
Dian Liu	Jones-Smith	Company
Asghar Taheri	Nelson-Mitchell	Company
Ying-Ta Lu	Huerta, Griffin and Jennings	Company
Liyan Luo	Tucker, Graham and White	Company
Chen Yang	Horton, Strickland and Cooper	Company
Kamalrulnizam Abu Bakar	Hensley, Hughes and Hopkins	Company
Kailei Xue	Glass-Taylor	Company
Angeliki Alexiou	Ryan-Robinson	Company
Feng Jiang 0002	Conservatorio del Tolima	University
Jeffrey L. Krichmar	Beth-El College of Nursing and Health Sciences	University
Galina Mihaleva	Teikyo Heisei University	University
Richard Y. Zhang	Sanders-King	Company
Anuja Tayal	Ukhta State Technical University	University
Guanglin Zhang	Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique	University
Katja Tangermann-Gerk	Salazar-Johns	Company
Daniele Comotti	Misr International University	University
S. B. G. O&apos;Brien	Reed College	University
Tsugunosuke Sakai	Tarim University	University
Yacine Ghamri-Doudane	Perez LLC	Company
Wei-Ling Chen	Riga Aviation University	University
Marcello Rosario Napolitano	Williams and Sons	Company
Adalberto Lafcadio Simeone	Novena University	University
Tousif Osman	Holland, Mitchell and Hess	Company
Nuo Huang	Smith, Smith and Williams	Company
Lishan Ke	Davis, Ramirez and Lee	Company
Zhi-Wen Tang	Mankato State University	University
Rantu Das	Caldwell-Nelson	Company
Quan Zhou 0004	Bailey Ltd	Company
Serena Nicolazzo	Lane Inc	Company
Akihiro Tsuruta	Moore-Baker	Company
Bhaskar Rao	Oduduwa University	University
Dongbing Gu	Karlshochschule International University	University
Hsiao-Hsi Wang	Cherry, Summers and Potter	Company
Wenwan You	Hamilton-Pratt	Company
Peter Corcoran 0001	Near East University	University
Cong Li	Clark-Perkins	Company
Quanbo Ge	Allen LLC	Company
Ippei Torii	University of Uyo	University
Suhaidi Shafie	Rios Ltd	Company
Shuai Zhao	Siberian State Medical University	University
T. Bui-Xuan	Universitas Pekalongan	University
Yuichi Yoshida	University of Wisconsin - Green Bay	University
J. A. Mulder	Fisher-Lewis	Company
Min-Jhih Cheng	Wright LLC	Company
Maria A. Fonseca	Felician College	University
Byung Kwon Koh	Cameron-Noble	Company
Pei Zhang	Indus Institute of Higher Education	University
Riwal Lefort	Allen, Powell and Murray	Company
Fabio Marco Caputo	Kyoto Women's University	University
Brendan Ubochi	Mcmillan, Foster and Mendez	Company
Adam Maunder	Lindenwood University	University
Yuan-Chih Chang	Martin Ltd	Company
Allan Zelener	Centre Universitaire de Tebessa	University
Pedro Reszka	Knoxville College	University
Chaoyin Huang	Beck Group	Company
Erich Barke	UNESCO-IHE Institute for Water Education	University
Tim van de Gucht	Howell-Contreras	Company
Marianne Black	Shanghai Lida Polytechnic Institute	University
Yuehua Huo	Johnson-Mack	Company
Luis Peña	Université François Rabelais de Tours	University
Thomas Blazek	Nelson-Smith	Company
Harya Bima Dirgantara	Evergreen State College	University
Byong-Deok Choi	Kent and Sons	Company
Renu Singh	Price, Hernandez and Martin	Company
Cynthia Chiu	Johnson Group	Company
Kwang-Seong Choi	Johnson-Jennings	Company
Lucia Grimaldi	Mcdonald, Gross and Carlson	Company
Bapu Koundinya Desiraju	Myers, Ruiz and Coleman	Company
Jingcun Yu	Norwegian School of Management BI	University
Zhi Bai	Moore PLC	Company
Lucas Dias Hiera Sampaio	University of Belize	University
Veronica Cimolin	Stephens Group	Company
Ren-Jieh Kuo	Ecole Nationale Supérieure d'Hydraulique et de Mécanique de Grenoble	University
Hongze Wang	Wilson-Robbins	Company
Shu-Wei Chang	Drury College	University
Surender Redhu	Lee-Bishop	Company
Zhan Zhou	Simmons Ltd	Company
Liangjie Guo	National University of Science and Technology	University
Linhai Jing	Tarbiat Modares University	University
Nate Lageman	Universidad de Especialidades del Espíritu Santo	University
Suraj Singh	Lee University	University
Swamy Ananthanarayan	Barrera-Rocha	Company
Jianguo Zhang	Shanghai Ocean University	University
Chonglin Sun	Haynes-Harrington	Company
Zhang Ren	Wilson, Harrell and Harvey	Company
Bingsheng He	Howell-Contreras	Company
Nidal Kamel	Myers, Ross and Thompson	Company
Víctor M. González Suárez	Fachhochschule und Berufskollegs NTA, Prof.Dr. Grübler gemein. GmbH	University
Maotian Zhang	Reilly-Williamson	Company
Jing Zhang	Mount Senario College	University
Wen-Pin Lin	Kampala International University	University
Minghui Liao	Ibaraki Prefectural University of Health Sciences	University
Eleazar Samuel Kolosovas-Machuca	Madden PLC	Company
M. Ufuk Çaglayan	New England College	University
Arafat A. Shabaneh	Rockford College	University
Lucas Dias H. Sampaio	Sendai University	University
Alejandro Gámez	Jones Inc	Company
Xinwen Chen	Calhoun-Richards	Company
Elisenda Bou	Garcia-Butler	Company
Nguyen Trong Nghia	Denver Technical College	University
Eric Avila-Vales	Matsuyama University	University
Shaotao Dai	Wright LLC	Company
Nima D. Badizadegan	University of Texas at El Paso	University
Wendi Qin	Institut Supérieur d'Agriculture Lille	University
Bing Liu	Vilnius Academy of Arts	University
Jinglin Liu	Gonzalez, Jones and Gray	Company
Daniel H. Simão	Myers, Ross and Thompson	Company
Pooi-Yuen Kam	American University of the Caribbean, School of Medicine	University
Muhammad Zia Ur Rahman	Lindsey Wilson College	University
Carlos M. Lentisco	Ivanovo State University	University
Hiroki Kasahara	Fuentes-Mcfarland	Company
Antonio Raffo	Harrison, Scott and Collins	Company
Ai Chen	Barrera LLC	Company
Julio Cesar Rosas-Caro	Kent State University	University
Jasper O&apos;Leary	Universidad Internacional SEK, Quito	University
Kwang-Jin Lee	Rivera, Conley and Brown	Company
David Novo	University of California, San Diego	University
Abdul Hameed	Aichi Shukutoku University	University
Takehiro Inohara	St. Louis College of Pharmacy	University
Alaan Ubaiara Brito	Jones International University	University
Aqeel Mahmood Jawad	Mitchell Ltd	Company
Dominik Schuldhaus	Thomas Ltd	Company
Roc Meseguer	Nicholson Group	Company
Tian Qiang	Tamagawa University	University
Han-Lin Zhan	Institut Catholique de Toulouse	University
Yongxin Zhu	University for Peace	University
Anne Preston	Universität Hamburg	University
Luis I. Minchala	New York Law School	University
Jing Xu	Gomez Inc	Company
Mário Lúcio da Silva Martins	Rice University	University
Walid Khaznaji	Kramer and Sons	Company
Feihong Dong	Keller, Perry and Thomas	Company
Jiankun Zhang	Taylor-Wheeler	Company
Wen-an Zhang	Ortiz, Rodriguez and Oconnor	Company
Ana Karina Caraban	University Institute of Naval Studies	University
Zih-Jie Su	Université Val-de-Marne (Paris XII)	University
Marco José Da Silva	Reynolds Ltd	Company
Sangho Song	Lopez PLC	Company
Daniela Elena Popescu	Wells-Ortiz	Company
Marius-F. Danca	Martin, Macias and Gonzalez	Company
Jong-Bok Baek	Gonzalez-Hill	Company
Zhenhua Zhu	University of Kuopio	University
Shijia E	Duran-Turner	Company
Alexandre L. B. Baccaro	Andrassy Gyula German Speaking University Budapest	University
Mujtaba Hussain Jaffery	Sarah Lawrence College	University
Kun Gao	York University	University
Raúl Miñón	Instituto Superior Bissaya Barreto	University
Jiri Misurec	Oneal-Watson	Company
Xiaohui Yang	National Aerospace University Kharkov Aviation Institute	University
Ou Li	Universidade Estadual de Feira de Santana	University
Ichrak Mehrez	Lopez-Bean	Company
Wei Sun 0011	European Institute of Education	University
Isabelle Kniestedt	Novosibirsk State Academy of Economics and Mangement	University
Jihwan Park	Miranda LLC	Company
Shiping Huang	Wilkerson Inc	Company
Yang Wang 0034	Kagoshima Women's College	University
Mariappan Murugesan	Université de Metz	University
Achuta Kadambi	Fukuoka Women's University	University
Tzanko Stantchev	Wako University	University
Safa Bousbih	Zaporizhzhe National Technical University	University
Juncheng Shen	Fachhochschule für Verwaltung und Rechtspflege Berlin	University
Zhaoyan Qu	Universidad Surcolombiana	University
Jason Weigel	Bradley, Allen and Davis	Company
Satoshi Kokubo	European School of Economics	University
Ke Cheng	Universidad de Puerto Rico, Arecibo	University
Rajvir Kaur	Wright LLC	Company
Teng Long	Wolf and Sons	Company
Fethi Filali	Universidad Columbia del Paraguay	University
Rui Huang	Saint Louis College	University
Antonio Baglivo	Kemp-Schmidt	Company
Hyosin Kim	Evangelische Fachhochschule Ludwigshafen Hochschule für Sozial- und Gesundheitswesen	University
Stefano Quer	Weeks, Robertson and Garcia	Company
Chun Sing Lai	International University of Kagoshima	University
Liangyi Gong	University of Anbar	University
Nahid Vahabisani	Romero PLC	Company
He Huang	Grambling State University	University
Yuki Saito	Novosibirsk State Agricultural University	University
Beom Seok Jeon	Davis, Edwards and Keller	Company
Wenchao Huang	Haas LLC	Company
Fedwa Laamarti	Phillips, Foster and Thomas	Company
Fanbiao Li	Universidad de Castilla La Mancha	University
Lei Zhang 0035	Edwards, Zavala and Flowers	Company
Jakub Obuchowski	National Technical University (Kharkiv Polytechnical Institute)	University
Tofigh Allahviranloo	The Bahá'í Institute For Higher Education (BIHE)	University
Heesoo Myeong	Griffin-Nelson	Company
Hemanshu Roy Pota	University Centre of the Westfjords	University
S. Sajithabanu	Minot State University	University
Gene Zhang	Samara State Aerospace University	University
Kwame Oteng Gyasi	Cork Institute of Technology	University
Zhaohui Liu	Russo PLC	Company
Jia Yan	Fuentes-Mcfarland	Company
Yong Jiang	Bluefield State College	University
Heng Siong Lim	Islamic Azad University, Shabestar	University
Arnulph Fuhrmann	Comrat State University	University
Abbas Khosravi	Meiji University	University
Jan Strehlow	Caucasus University	University
Gundula Hoffmann	Robbins, Cook and Gilmore	Company
Xuejiao Liu	Jensen, Camacho and Oliver	Company
Cristina Urdiales	Mccullough-Black	Company
Surya Nepal	Hardy LLC	Company
Milind R. Penurkar	Gray, Brown and Bowers	Company
M. P. Selvan	St. Peter's College	University
Lydia Lawand	Hardy, Torres and Adams	Company
Filipe D. Cardoso	Kerr-Gray	Company
Alexandru S. Biris	Foley Ltd	Company
Jeroen Peeters	Universidad Metropolitana	University
Yonghua Lao	Texas College of Osteopathic Medicine	University
Sergio Plaza	Brown LLC	Company
Taeyang Kim	Syktyvkar State University	University
Jiashen Teh	Chiba University of Commerce	University
Josien Jansen	Long, Cantu and Campbell	Company
Wen Chen	Universidad Católica de Ávila	University
Ming Chen 0003	Missouri Southern State College	University
Rongshun Chen	James-Lewis	Company
Alfons Kemper	Davis, Ramirez and Lee	Company
Suyuan Bai	Tiraspol State University	University
Miska M. Hannuksela	Universitas Andalas	University
Amer Baghdadi	Samuel Merritt College	University
Duminda N. Vidana Gamage	Jordan Group	Company
Prince Anokye	Hernandez-Farmer	Company
Andraz Kontarcek	Vytautas Magnus University	University
Cuauhtemoc Acosta Lua	Lopez PLC	Company
D. Franklin Vinod	Baker, Becker and Morales	Company
Zuzana Kukelova	Eastern Illinois University	University
Jutamanee Auysakul	Brown, Matthews and Huynh	Company
Olivier Romain	Kyoto University of Education	University
Sushanta Chakraborty	Mcgee PLC	Company
Ning Zhu	Instituto Tecnológico de Santo Domingo	University
Lucile Arnaud	Perry Group	Company
Ksenia Konstantinova	University of Guam	University
Neelamadhav Gantayat	Augustana Hochschule Neuendettelsau	University
Kenneth R. Foster	Cameron Group	Company
Guo-Quan Lu	Institut des Hautes Etudes de Management	University
Jiaqi Liu	Arkansas Tech University	University
Ariane Ingabire	Woods PLC	Company
YunSuk Chang	Walter-Wood	Company
Xiaomeng Li	American University College of Technology	University
Dmitry N. Gerasimov	Abylai Khan University	University
Siyu Yan	Gallaudet University	University
Yan Wang	Czech University of Agriculture Prague	University
Nikunj Agarwal	Hochschule Darmstadt	University
Sidney S. Fels	Hatfield, Cox and Moreno	Company
Jiang Cheng	Horton, Strickland and Cooper	Company
Xin Gao	Mullins Group	Company
Sajjad Ali	Campus Bio-Medico University of Rome	University
Sanjay Tolani	Perez, Davidson and Palmer	Company
Bongkoo Kang	European University of Lefke	University
D. Samaras	Christensen LLC	Company
Kashif Naseer Qureshi	Ferguson, Clarke and Osborn	Company
Raymond Knopp	Farmer Inc	Company
Ranjan Das	Gannon University	University
Chihiro Suga	Koch-Cole	Company
Manoj Badoni	Universidad Central	University
Miguel A. Guillomía San Bartolomé	Norris, Long and Howell	Company
Florentino Fdez-Riverola	Universidade de Itaúna	University
Geng-Jie Yang	Kobe Gakuin University	University
Tasawar Hayat	Sankei University	University
Phillip C. Womble	Madhya Pradesh Bhoj (Open) University	University
Leah Holton	Warren, Mckinney and Powell	Company
Yatao Yang	Mamasani University of Technology	University
Misha Sra	Garcia PLC	Company
Katja Neureiter	Arnold, Wilson and Skinner	Company
A. Kociubinski	Johnson-Zimmerman	Company
Hongyi Liu	Hawkins-York	Company
Marco Demori	University of Trinidad and Tobago	University
Jian Song	Johnson-Cook	Company
Mingshu Zhang	Gonzalez, Stephens and Rivera	Company
Mrinal K. Naskar	Weaver Ltd	Company
Edith Huber	Stockholm School of Economics in Riga	University
Jagat Jyoti Rath	Smith, Graham and Kelly	Company
Runlin Chen	Kramer and Sons	Company
Kuosheng Jiang	Foster Ltd	Company
Hyunjae Kim	Northern Institute of Technology Management (NIT)	University
Aldo Sorniotti	Islamic Azad University, Mashhad	University
Yishuang Geng	Universidade Estadual de Santa Cruz	University
Andrew B. L. Berry	Sejong University	University
Chengming Luo	Novgorod State University	University
Niccolo Norman	Corporación Universitaria de la Costa (UNICOSTA)	University
SeungHoon Lee	Beck Group	Company
Nam Hoon Jo	Seikei University	University
Wence Zhang	Allen LLC	Company
Jingbo Zhang	Tsukuba University	University
Chia-Yu Hsu	King-Kelly	Company
Pan Hui	Adkins, Bryant and Adams	Company
Tetsuro Kitahara	Gay-Powell	Company
Christophe Rigotti	Gay-Powell	Company
Óscar Fresnedo	Islamic Azad University, Bostanabad	University
Chin-Feng Lai	Murphy-Terry	Company
Bao-feng Lu	Universidad Nacional de Colombia	University
